Name,RK,Active PPT,Term PPT,PPT,Assets,Asset (minus Loans),Total Investment,Revenue Share,Net Investments,Total Monthly RK,Annual RK,RK Sponsor Fee$,RK Sponsor fee%,RK PPT Fee$,RK PPT Fee%,PPT Service Fees,Trustee Custodial,Participant Advice,Advisor%,TPA%,Total PPT,Net Investments,Rev-Share,Total Investments,Total Advisor,Total TPA,Total RK,Total Cost,Total Cost %,Total Cost + Service,PDFLink,,,,,,,,,,Total Investment
SilkScreen,Principal,12,2,,"$474,871.00",,1.14%,0.84%,0.30%,,,3200,,,0.17%,,,,,,14,"$1,424.61","$3,988.92","$5,413.53",,,"$4,007.28","$9,420.81",1.98%,"$9,420.81",https://drive.google.com/file/d/1iY93zq0HyJwg6BCqMKFkb97qjrOBOWKT/view?usp=drive_link,,,,,,,,,,
MG Stover,Empower,,,110,"$4,399,954.00","$4,386,938.00",0.12%,0%,0.12%,,,1000,,,0.73%,1335,750,197,,,0,"$5,279.94",$0.00,"$5,279.94",,,"$33,119.66","$38,399.61",0.87%,"$39,734.61",https://drive.google.com/file/d/1-hBmt3_-AYHkdsgcnQgNlBf3dGtfX5tY/view?usp=drive_link,,,,,,,,,,
Polysign ,Human Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1JhfV91Tbd60QfMvyh9e2k_xBIWbyPSkk/view?usp=drive_link,,,,,,,,,,
Mader Construction Company,Thrift Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1eXPgG1ycDYlICRxkgc-odUasdDqKUk22/view?usp=drive_link,,,,,,,,,,
PARAMOUNT TRANSPORTATION SYSTEMS,Voya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1hOyHWXdFsxOtD1DEMrnYjXvnvV8HM63u/view?usp=drive_link,,,,,,,,,,
WAY MEDIA INC,Paychex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1igvmC451mLe5k4RswS1bTmDTltnfJOMF/view?usp=drive_link,,,,,,,,,,
GOFF BACKA ALFERA & CO.,MassMutual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1LaIwNsNNl9_KU4kzItgbM8vKSrBBNJM7/view?usp=drive_link,,,,,,,,,,
Midwest Equipment and Supply Co.,American Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1A7hqQSeM-mF3nqWQOBpm7BewgwrTg-zM/view?usp=drive_link,,,,,,,,,,
Truck-Rail Handling,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1_l9H9Sd0g_12UcJylK758A5n9v9HscHq/view?usp=drive_link,,,,,,,,,,
Rondo Inc.,Voya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1626lrs5DNBP-cKwMz-5APSriBIY-cZqs/view?usp=drive_link,,,,,,,,,,
